Corporate,Group,Group_Objective,Group_KeyResult,Group_Category,Group_TargetResult,Group_Weight,Department,Department_Objective,Department_KeyResult,Department_Category,Department_TargetResult,Department_Weight,Team,Team_Objective,Team_KeyResult,Team_Category,Team_TargetResult,Team_Weight
Converge ICT Solutions,People & Culture,Revenue Optimization,Revenue per Employee Cost,Threshold,18.91,25%,People Platforms & Analytics,Deliver HR tech products that drive cost efficiency gains,Project Optimization Rate = 85%,Threshold,85%,30%,Platforms,Deliver HR tech products that drive cost efficiency gains,Project Optimization Rate = 85%,Threshold,85%,30%
Converge ICT Solutions,People & Culture,Talent Acquisition,Tracks effectiveness of recruitment and Converge’s reputation as an employer of choice,Target,70.00%,25%,People Platforms & Analytics,"Build data foundation and governace that ensure data is clean, accessible and trusted ","Data Quality Rate = 85%

Relevance Score: Analytics are designed to help drive revenue and cost optimization (i.e Talent Density, OT, etc.)
Integrity Score: Data is updated, accurate and trusted 
Accessibility Score: Defined access, Automated and Released on Time 

Note: Glidepath to 95% in 2027 and 99% in 2028",Target,85%,20%,Platforms,"Deliver high-performance & reliable People Platforms that significantly contribute to ""ease of working"" efforts",System Uptime: 99.5% ,Threshold,99.50%,20%
Converge ICT Solutions,People & Culture,Employee Net Promoter Score,Establish an organizational advocacy benchmark to drive employee sentiment and retention across the company.,Target,25,20%,People Platforms & Analytics,"Deliver high-performance & reliable People Platforms that significantly contribute to ""ease of working"" efforts",System Uptime: 99.5% ,Target,99.50%,10%,Platforms,"Deliver high-performance & reliable People Platforms that significantly contribute to ""ease of working"" efforts",First Time Resolution: 90%,Threshold,90%,15%
Converge ICT Solutions,People & Culture,Talent Management,Build a comprehensive talent baseline to enable data-driven succession planning across the organization.,Target,100.00%,20%,People Platforms & Analytics,"Deliver high-performance & reliable People Platforms that significantly contribute to ""ease of working"" efforts",Platforms Capability Rate: 90%,Target,90%,15%,Platforms,Ensure seamless and frictionless project delivery,Project CSat = 85%,Target,85%,15%
Converge ICT Solutions,People & Culture,Department Efficiency,How much company EBITDA is generated for every peso spent on total group headcount cost.,Threshold,306,10%,People Platforms & Analytics,Ensure seamless and frictionless project delivery,Project CSat = 85%,Threshold,85%,10%,Platforms,"Enforce people adoption to HR platforms to help promote ""automation first"" and ""do more with less"" culture",Standardized Adoption Score (SAS) = 90%,Threshold,90%,20%
Converge ICT Solutions,People & Culture,,,,,,People Platforms & Analytics,"Enforce people adoption to HR platforms to help promote ""automation first"" and ""do more with less"" culture",Standardized Adoption Score (SAS) = 90%,Threshold,90%,15%,Analytics,"Build data foundation and governace that ensure data is clean, accessible and trusted ","Relevance Score: 85%

Analytics are designed to help drive revenue and cost optimization (i.e Talent Density, OT, etc.)",Target,85%,30%
Converge ICT Solutions,People & Culture,,,,,,People Platforms & Analytics,,,,,,Analytics,"Build data foundation and governace that ensure data is clean, accessible and trusted ","Integrity Score: 95%

Data is updated, accurate and trusted ",Threshold,95%,30%
Converge ICT Solutions,People & Culture,,,,,,People Platforms & Analytics,,,,,,Analytics,"Build data foundation and governace that ensure data is clean, accessible and trusted ","Accessibility Score: 75% 

Defined access, Automated and Released on Time",Target,75%,30%
Converge ICT Solutions,People & Culture,,,,,,People Platforms & Analytics,,,,,,Analytics,Ensure seamless and frictionless project delivery,Project CSat = 85%,Target,85%,10%
